-6.59,-4.47,27.5,21.0
-6.39,-4.47,27.0,19.9
-6.2,-4.5,26.6,18.8
-6.03,-4.53,26.2,17.5
-5.87,-4.58,25.8,15.9
-5.71,-4.63,25.4,14.0
-5.57,-4.7,25.0,11.7
-5.46,-4.79,24.7,8.96
-5.38,-4.91,24.3,5.92
-5.33,-5.06,24.0,2.77
-5.32,-5.25,23.6,-0.282
-5.35,-5.48,23.3,-3.05
-5.4,-5.73,22.9,-5.4
-5.47,-5.99,22.6,-7.32
-5.56,-6.26,22.3,-8.87
-5.65,-6.54,22.1,-10.2
-5.75,-6.82,21.9,-11.5
-5.87,-7.11,21.7,-12.9
-6.0,-7.41,21.6,-14.5
-6.15,-7.73,21.5,-16.3
-6.32,-8.06,21.4,-18.2
-6.51,-8.42,21.3,-20.1
-6.72,-8.79,21.3,-21.9
-6.96,-9.17,21.3,-23.4
-7.2,-9.56,21.4,-24.5
-7.46,-9.95,21.5,-25.3
-7.72,-10.3,21.7,-25.8
-7.98,-10.7,21.9,-26.1
-8.24,-11.0,22.2,-26.4
-8.49,-11.4,22.5,-26.8
-8.76,-11.7,22.9,-27.3
-9.03,-12.0,23.4,-27.9
-9.31,-12.2,23.9,-28.5
-9.61,-12.5,24.4,-28.8
-9.9,-12.7,25.0,-28.8
-10.2,-12.9,25.6,-28.1
-10.5,-13.0,26.2,-26.8
-10.7,-13.0,26.8,-24.7
-11.0,-13.0,27.5,-21.9
-11.2,-12.9,28.1,-18.3
-11.3,-12.7,28.8,-14.2
-11.5,-12.5,29.4,-9.7
-11.5,-12.1,30.0,-4.97
-11.5,-11.7,30.6,-0.217
-11.5,-11.2,31.1,4.4
-11.4,-10.7,31.5,8.79
-11.3,-10.2,31.9,12.9
-11.2,-9.6,32.1,16.8
-11.0,-9.04,32.3,20.3
-10.8,-8.48,32.4,23.7
-10.5,-7.93,32.4,26.8
-10.3,-7.4,32.3,29.5
-9.96,-6.9,32.2,31.6
-9.63,-6.41,32.0,33.2
-9.29,-5.96,31.8,34.0
-8.94,-5.56,31.5,34.1
-8.59,-5.2,31.1,33.5
-8.26,-4.91,30.7,32.4
-7.94,-4.67,30.3,31.0
-7.65,-4.49,29.9,29.6
-7.37,-4.36,29.4,28.1
-7.1,-4.26,28.9,26.8
-6.84,-4.19,28.4,25.7
-6.59,-4.14,27.9,24.5
-6.34,-4.1,27.4,23.2
-6.11,-4.09,27.0,21.6
-5.9,-4.1,26.5,19.7
-5.71,-4.14,26.1,17.4
-5.55,-4.21,25.6,14.8
-5.42,-4.3,25.2,11.8
-5.32,-4.41,24.8,8.65
-5.24,-4.56,24.4,5.52
-5.2,-4.73,24.0,2.55
-5.19,-4.93,23.6,-0.0787
-5.21,-5.16,23.2,-2.27
-5.24,-5.4,22.8,-3.98
-5.29,-5.65,22.4,-5.24
-5.36,-5.91,22.1,-6.17
-5.42,-6.17,21.8,-6.92
-5.5,-6.42,21.6,-7.7
-5.57,-6.68,21.4,-8.7
-5.66,-6.95,21.2,-10.1
-5.76,-7.22,21.1,-11.9
-5.89,-7.52,21.0,-14.0
-6.04,-7.84,20.9,-16.5
-6.22,-8.2,20.9,-19.1
-6.43,-8.57,20.9,-21.7
-6.66,-8.97,20.9,-24.0
-6.92,-9.38,20.9,-26.1
-7.19,-9.8,21.0,-27.8
-7.48,-10.2,21.2,-29.2
-7.77,-10.6,21.4,-30.3
-8.08,-11.1,21.6,-31.1
-8.39,-11.5,22.0,-31.7
-8.7,-11.8,22.4,-32.1
-9.02,-12.2,22.8,-32.1
-9.34,-12.5,23.3,-31.8
-9.66,-12.8,23.9,-31.0
-9.97,-13.1,24.5,-29.8
-10.3,-13.2,25.1,-28.0
-10.5,-13.3,25.8,-25.9
-10.8,-13.4,26.6,-23.5
-11.0,-13.3,27.3,-20.9
-11.2,-13.2,28.1,-18.2
-11.4,-13.0,28.8,-15.3
-11.5,-12.7,29.6,-12.2
-11.6,-12.4,30.2,-8.71
-11.7,-12.0,30.8,-4.74
-11.7,-11.5,31.4,-0.20800000000000002
-11.7,-11.0,31.8,4.88
-11.6,-10.5,32.2,10.4
-11.5,-9.88,32.5,16.0
-11.3,-9.26,32.7,21.5
-11.1,-8.62,32.8,26.4
-10.8,-7.97,32.9,30.4
-10.4,-7.34,32.8,33.3
-10.1,-6.75,32.7,35.0
-9.72,-6.21,32.5,35.7
-9.36,-5.72,32.3,35.5
-9.01,-5.31,31.9,34.9
-8.67,-4.96,31.5,34.1
-8.34,-4.67,31.1,33.3
-8.02,-4.43,30.6,32.8
-7.7,-4.24,30.1,32.6
-7.38,-4.08,29.6,32.5
-7.05,-3.94,29.1,32.2
-6.73,-3.82,28.6,31.6
-6.41,-3.72,28.1,30.4
-6.1,-3.64,27.6,28.4
-5.82,-3.59,27.2,25.6
-5.58,-3.59,26.7,22.3
-5.38,-3.62,26.2,18.5
-5.22,-3.7,25.7,14.6
-5.1,-3.82,25.3,10.9
-5.01,-3.97,24.8,7.7
-4.95,-4.14,24.3,5.05
